,Ticker,Name
137,EIHOTEL,EIH Ltd.
138,EPL,EPL Ltd.
139,EASEMYTRIP,Easy Trip Planners Ltd.
140,EICHERMOT,Eicher Motors Ltd.
141,ELGIEQUIP,Elgi Equipments Ltd.
142,EMAMILTD,Emami Ltd.
143,ENDURANCE,Endurance Technologies Ltd.
144,ENGINERSIN,Engineers India Ltd.
145,EQUITASBNK,Equitas Small Finance Bank Ltd.
146,ERIS,Eris Lifesciences Ltd.
147,ESCORTS,Escorts Kubota Ltd.
148,EXIDEIND,Exide Industries Ltd.
149,FDC,FDC Ltd.
150,NYKAA,FSN E-Commerce Ventures Ltd.
151,FEDERALBNK,Federal Bank Ltd.
152,FACT,Fertilisers and Chemicals Travancore Ltd.
153,FINEORG,Fine Organic Industries Ltd.
154,FINCABLES,Finolex Cables Ltd.
155,FINPIPE,Finolex Industries Ltd.
156,FSL,Firstsource Solutions Ltd.
157,FIVESTAR,Five-Star Business Finance Ltd.
158,FORTIS,Fortis Healthcare Ltd.
159,GRINFRA,G R Infraprojects Ltd.
160,GAIL,GAIL (India) Ltd.
161,GMMPFAUDLR,GMM Pfaudler Ltd.
162,GMRINFRA,GMR Airports Infrastructure Ltd.
163,GALAXYSURF,Galaxy Surfactants Ltd.
164,GARFIBRES,Garware Technical Fibres Ltd.
165,GICRE,General Insurance Corporation of India
166,GLAND,Gland Pharma Ltd.
167,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.
168,GLENMARK,Glenmark Pharmaceuticals Ltd.
169,MEDANTA,Global Health Ltd.
170,GOCOLORS,Go Fashion (India) Ltd.
171,GODFRYPHLP,Godfrey Phillips India Ltd.
172,GODREJAGRO,Godrej Agrovet Ltd.
173,GODREJCP,Godrej Consumer Products Ltd.
174,GODREJIND,Godrej Industries Ltd.
175,GODREJPROP,Godrej Properties Ltd.
176,GRANULES,Granules India Ltd.
177,GRAPHITE,Graphite India Ltd.
178,GRASIM,Grasim Industries Ltd.
179,GESHIP,Great Eastern Shipping Co. Ltd.
180,GREENPANEL,Greenpanel Industries Ltd.
181,GRINDWELL,Grindwell Norton Ltd.
182,GUJALKALI,Gujarat Alkalies & Chemicals Ltd.
183,GAEL,Gujarat Ambuja Exports Ltd.
184,FLUOROCHEM,Gujarat Fluorochemicals Ltd.
185,GUJGASLTD,Gujarat Gas Ltd.
186,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.
187,GPPL,Gujarat Pipavav Port Ltd.
188,GSFC,Gujarat State Fertilizers & Chemicals Ltd.
189,GSPL,Gujarat State Petronet Ltd.
190,HEG,H.E.G. Ltd.
191,HCLTECH,HCL Technologies Ltd.
192,HDFCAMC,HDFC Asset Management Company Ltd.
193,HDFCBANK,HDFC Bank Ltd.
194,HDFCLIFE,HDFC Life Insurance Company Ltd.
195,HFCL,HFCL Ltd.
196,HLEGLAS,HLE Glascoat Ltd.
197,HAPPSTMNDS,Happiest Minds Technologies Ltd.
198,HAVELLS,Havells India Ltd.
199,HEROMOTOCO,Hero MotoCorp Ltd.
200,HIKAL,Hikal Ltd.
201,HINDALCO,Hindalco Industries Ltd.
202,HGS,Hinduja Global Solutions Ltd.
203,HAL,Hindustan Aeronautics Ltd.
204,HINDCOPPER,Hindustan Copper Ltd.
205,HINDPETRO,Hindustan Petroleum Corporation Ltd.
206,HINDUNILVR,Hindustan Unilever Ltd.
207,HINDZINC,Hindustan Zinc Ltd.
208,POWERINDIA,Hitachi Energy India Ltd.
209,HOMEFIRST,Home First Finance Company India Ltd.
210,HONAUT,Honeywell Automation India Ltd.
211,HUDCO,Housing & Urban Development Corporation Ltd.
212,HDFC,Housing Development Finance Corporation Ltd.
213,ICICIBANK,ICICI Bank Ltd.
214,ICICIGI,ICICI Lombard General Insurance Company Ltd.
215,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.
216,ISEC,ICICI Securities Ltd.
217,IDBI,IDBI Bank Ltd.
218,IDFCFIRSTB,IDFC First Bank Ltd.
219,IDFC,IDFC Ltd.
220,IFBIND,IFB Industries Ltd.
221,IIFL,IIFL Finance Ltd.
222,IRB,IRB Infrastructure Developers Ltd.
223,ITC,ITC Ltd.
224,ITI,ITI Ltd.
225,INDIACEM,India Cements Ltd.
226,IBULHSGFIN,Indiabulls Housing Finance Ltd.
227,IBREALEST,Indiabulls Real Estate Ltd.
228,INDIAMART,Indiamart Intermesh Ltd.
229,INDIANB,Indian Bank
230,IEX,Indian Energy Exchange Ltd.
231,INDHOTEL,Indian Hotels Co. Ltd.
232,IOC,Indian Oil Corporation Ltd.
233,IOB,Indian Overseas Bank
234,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.
235,IRFC,Indian Railway Finance Corporation Ltd.
236,INDIGOPNTS,Indigo Paints Ltd.
237,IGL,Indraprastha Gas Ltd.
238,INDUSTOWER,Indus Towers Ltd.
239,INDUSINDBK,IndusInd Bank Ltd.
240,INFIBEAM,Infibeam Avenues Ltd.
241,NAUKRI,Info Edge (India) Ltd.
242,INFY,Infosys Ltd.
243,INGERRAND,Ingersoll Rand (India) Ltd.
244,INTELLECT,Intellect Design Arena Ltd.
245,INDIGO,InterGlobe Aviation Ltd.
246,IPCALAB,Ipca Laboratories Ltd.
247,JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.
248,JKCEMENT,J.K. Cement Ltd.
249,JBMA,JBM Auto Ltd.
250,JKLAKSHMI,JK Lakshmi Cement Ltd.
251,JKPAPER,JK Paper Ltd.
252,JMFINANCIL,JM Financial Ltd.
253,JSWENERGY,JSW Energy Ltd.
254,JSWSTEEL,JSW Steel Ltd.
255,JAMNAAUTO,Jamna Auto Industries Ltd.
256,JSL,Jindal Stainless Ltd.
257,JINDALSTEL,Jindal Steel & Power Ltd.
258,JINDWORLD,Jindal Worldwide Ltd.
259,JUBLFOOD,Jubilant Foodworks Ltd.
260,JUBLINGREA,Jubilant Ingrevia Ltd.
261,JUBLPHARMA,Jubilant Pharmova Ltd.
262,JUSTDIAL,Justdial Ltd.
263,JYOTHYLAB,Jyothy Labs Ltd.
264,KPRMILL,K.P.R. Mill Ltd.
265,KEI,KEI Industries Ltd.
266,KNRCON,KNR Constructions Ltd.
267,KPITTECH,KPIT Technologies Ltd.
268,KRBL,KRBL Ltd.
269,KSB,KSB Ltd.
270,KAJARIACER,Kajaria Ceramics Ltd.
271,KPIL,Kalpataru Projects International Ltd.
272,KALYANKJIL,Kalyan Jewellers India Ltd.
273,KANSAINER,Kansai Nerolac Paints Ltd.
274,KARURVYSYA,Karur Vysya Bank Ltd.
275,KEC,Kec International Ltd.
276,KENNAMET,Kennametal India Ltd.
277,RUSTOMJEE,Keystone Realtors Ltd.
278,KFINTECH,Kfin Technologies Ltd.
279,KOTAKBANK,Kotak Mahindra Bank Ltd.
280,KIMS,Krishna Institute of Medical Sciences Ltd.
281,L&TFH,L&T Finance Holdings Ltd.
282,LTTS,L&T Technology Services Ltd.
283,LICHSGFIN,LIC Housing Finance Ltd.
284,LTIM,LTIMindtree Ltd.
285,LAXMIMACH,Lakshmi Machine Works Ltd.
286,LT,Larsen & Toubro Ltd.
287,LATENTVIEW,Latent View Analytics Ltd.
288,LAURUSLABS,Laurus Labs Ltd.
289,LXCHEM,Laxmi Organic Industries Ltd.
290,LEMONTREE,Lemon Tree Hotels Ltd.
291,LICI,Life Insurance Corporation of India
292,LINDEINDIA,Linde India Ltd.
293,LUPIN,Lupin Ltd.
294,LUXIND,Lux Industries Ltd.
295,MMTC,MMTC Ltd.
296,MRF,MRF Ltd.
297,MTARTECH,MTAR Technologies Ltd.
298,LODHA,Macrotech Developers Ltd.
299,MGL,Mahanagar Gas Ltd.
300,M&MFIN,Mahindra & Mahindra Financial Services Ltd.
301,M&M,Mahindra & Mahindra Ltd.
302,MHRIL,Mahindra Holidays & Resorts India Ltd.
303,MAHLIFE,Mahindra Lifespace Developers Ltd.
304,MAHLOG,Mahindra Logistics Ltd.
305,MANAPPURAM,Manappuram Finance Ltd.
306,MRPL,Mangalore Refinery & Petrochemicals Ltd.
307,MARICO,Marico Ltd.
308,MARUTI,Maruti Suzuki India Ltd.
309,MASTEK,Mastek Ltd.
310,MFSL,Max Financial Services Ltd.
311,MAXHEALTH,Max Healthcare Institute Ltd.
312,MAZDOCK,Mazagoan Dock Shipbuilders Ltd.
313,MEDPLUS,Medplus Health Services Ltd.
314,MFL,Meghmani Finechem Ltd.
315,METROBRAND,Metro Brands Ltd.
316,METROPOLIS,Metropolis Healthcare Ltd.
317,MSUMI,Motherson Sumi Wiring India Ltd.
318,MOTILALOFS,Motilal Oswal Financial Services Ltd.
319,MPHASIS,MphasiS Ltd.
320,MCX,Multi Commodity Exchange of India Ltd.
321,MUTHOOTFIN,Muthoot Finance Ltd.
322,NATCOPHARM,NATCO Pharma Ltd.
323,NBCC,NBCC (India) Ltd.
324,NCC,NCC Ltd.
325,NHPC,NHPC Ltd.
326,NLCINDIA,NLC India Ltd.
327,NMDC,NMDC Ltd.
328,NSLNISP,NMDC Steel Ltd.
329,NOCIL,NOCIL Ltd.
330,NTPC,NTPC Ltd.
331,NH,Narayana Hrudayalaya Ltd.
332,NATIONALUM,National Aluminium Co. Ltd.
333,NAVINFLUOR,Navin Fluorine International Ltd.
334,NAZARA,Nazara Technologies Ltd.
335,NESTLEIND,Nestle India Ltd.
336,NETWORK18,Network18 Media & Investments Ltd.
337,NAM-INDIA,Nippon Life India Asset Management Ltd.
338,NUVOCO,Nuvoco Vistas Corporation Ltd.
339,OBEROIRLTY,Oberoi Realty Ltd.
340,ONGC,Oil & Natural Gas Corporation Ltd.
341,OIL,Oil India Ltd.
342,OLECTRA,Olectra Greentech Ltd.
343,PAYTM,One 97 Communications Ltd.
344,OFSS,Oracle Financial Services Software Ltd.
345,ORIENTELEC,Orient Electric Ltd.
346,POLICYBZR,PB Fintech Ltd.
347,PCBL,PCBL Ltd.
348,PIIND,PI Industries Ltd.
349,PNBHOUSING,PNB Housing Finance Ltd.
350,PNCINFRA,PNC Infratech Ltd.
351,PVRINOX,PVR INOX Ltd.
352,PAGEIND,Page Industries Ltd.
353,PATANJALI,Patanjali Foods Ltd.
354,PERSISTENT,Persistent Systems Ltd.
355,PETRONET,Petronet LNG Ltd.
356,PFIZER,Pfizer Ltd.
357,PHOENIXLTD,Phoenix Mills Ltd.
358,PIDILITIND,Pidilite Industries Ltd.
359,PEL,Piramal Enterprises Ltd.
360,PPLPHARMA,Piramal Pharma Ltd.
361,POLYMED,Poly Medicure Ltd.
362,POLYCAB,Polycab India Ltd.
363,POLYPLEX,Polyplex Corporation Ltd.
364,POONAWALLA,Poonawalla Fincorp Ltd.
